Name,,Sex,Age,Team,NOC,Year,City,Sport,Event,Gold,Bronze,Silver,None
Aaron Younger,,M,24,United States,USA,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,1,0,0,1
Ababel Yeshaneh Birhane,,F,25,Czech Republic-1,CZE,2016,Rio de Janeiro,Tennis,Tennis Women's Doubles,0,1,0,1
Abbey Weitzeil,,F,19,Russia,RUS,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Horse Vault,0,0,1,1
Abbey Weitzeil,,F,19,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,1,0,0,1
Abbey Weitzeil,,F,19,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,1,0,0,1
Abbey Weitzeil,,F,19,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,0,0,1,1
Abdalla Yousif,,M,19,France,FRA,2016,Rio de Janeiro,Judo,Judo Women's Half-Heavyweight,0,0,1,1
Abdi Hakin Achkel Ulad,,M,25,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,0,1,0,1
Abdul Wahab Zahiri,,M,24,Germany,GER,2016,Rio de Janeiro,Archery,Archery Women's Individual,0,0,1,1
Abdullo Tovashevich Tangriyev,,M,35,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,0,1,0,1
Ablaykhan Kayratovich Zhusupov,,M,19,Russia,RUS,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Breaststroke,0,0,1,1
Adam Joseph Van Koeverden,,M,34,Georgia,GEO,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Freestyle",1,0,0,1
Adam Joseph Vella,,M,45,France,FRA,2016,Rio de Janeiro,Athletics,Athletics Men's 200 metres,0,1,0,1
Adam Viktora,,M,19,France,FRA,2016,Rio de Janeiro,Handball,Handball Men's Handball,0,0,1,1
Adam Winiewski,,M,35,Canada,CAN,2016,Rio de Janeiro,Football,Football Women's Football,0,1,0,1
Adam Yates,,M,23,Thailand,THA,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Lightweight,1,0,0,1
Adla Skorov-Bruns,,F,29,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,0,0,1,1
Adla Skorov-Bruns,,F,29,Great Britain,GBR,2016,Rio de Janeiro,Boxing,Boxing Women's Flyweight,1,0,0,1
Afrodite Zegers (Kyranakou-),,F,24,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,1,0,0,1
Agnese boltia,,F,17,Netherlands,NED,2014,Sochi,Speed Skating,"Speed Skating Women's 1,000 metres",0,1,0,1
Agnese boltia,,F,17,Russia,RUS,2014,Sochi,Luge,Luge Mixed Team Relay,0,0,1,1
Agnieszka Jadwiga Wieszczek-Kordus,,F,33,Brazil,BRA,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",0,0,1,1
Agnieszka Skrzypulec,,F,27,Switzerland,SUI,2014,Sochi,Biathlon,Biathlon Women's 15 kilometres,0,0,1,1
Agnieszka Staro-Nagay,,F,35,Netherlands,NED,2014,Sochi,Speed Skating,Speed Skating Men's 500 metres,0,1,0,1
Agnieszka Staro-Nagay,,F,35,Switzerland,SUI,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,0,1,0,1
Agnieszka Szwarng,,F,29,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,0,0,1,1
Agustn Vidal,,M,29,Belgium,BEL,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,0,0,1,1
Ai Ueda,,F,32,Germany,GER,2016,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,1,0,0,1
"Aikaterini ""Ekaterini"" Stefanidi",,F,26,Russia,RUS,2014,Sochi,Snowboarding,Snowboarding Men's Boardercross,0,0,1,1
Aiko Sugihara,,F,16,Latvia,LAT,2014,Sochi,Luge,Luge Mixed Team Relay,0,1,0,1
Aiko Sugihara,,F,16,Canada,CAN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,1,0,0,1
Aiko Sugihara,,F,16,United States-1,USA,2014,Sochi,Bobsleigh,Bobsleigh Men's Four,0,1,0,1
Aiko Sugihara,,F,16,Russia-1,RUS,2014,Sochi,Figure Skating,Figure Skating Mixed Pairs,1,0,0,1
Aiko Sugihara,,F,16,Russia,RUS,2014,Sochi,Figure Skating,Figure Skating Mixed Team,1,0,0,1
Ailen Valente,,F,20,Japan,JPN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,0,1,0,1
Ailen Valente,,F,20,Indonesia,INA,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Featherweight,0,0,1,1
Ailen Valente,,F,20,United States,USA,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,1,0,0,1
Ailen Valente,,F,20,Azerbaijan,AZE,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,1,0,0,1
Aimee Willmott,,F,23,Norway,NOR,2016,Rio de Janeiro,Handball,Handball Women's Handball,0,1,0,1
Aimee Willmott,,F,23,North Korea,PRK,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Heavyweight,1,0,0,1
Aje Wilson,,F,22,France,FRA,2016,Rio de Janeiro,Judo,Judo Men's Heavyweight,1,0,0,1
Akane Yamaguchi,,F,19,Croatia,CRO,2016,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,1,0,0,1
Akani Simbine,,M,22,France,FRA,2014,Sochi,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,0,1,0,1
Akashdeep Singh,,M,21,Canada,CAN,2014,Sochi,Figure Skating,Figure Skating Men's Singles,0,0,1,1
Aki Yazawa,,F,24,Azerbaijan,AZE,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",0,1,0,1
Akira Yanase,,M,27,Great Britain,GBR,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,0,0,1,1
Alan Sinclair,,M,30,Poland,POL,2014,Sochi,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),0,1,0,1
Alan Sothern,,M,29,Netherlands,NED,2014,Sochi,Speed Skating,"Speed Skating Men's 10,000 metres",0,0,1,1
Alba Torrens Salom,,F,26,Russia,RUS,2016,Rio de Janeiro,Sailing,Sailing Women's Windsurfer,0,1,0,1
Albane Valenzuela,,F,18,Russia,RUS,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,0,1,0,1
Albert Slimov,,M,30,Russia,RUS,2014,Sochi,Speed Skating,"Speed Skating Women's 3,000 metres",0,1,0,1
Albert Subirats Altes,,M,29,Canada,CAN,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,1,0,0,1
Albert Subirats Altes,,M,29,Kazakhstan,KAZ,2014,Sochi,Figure Skating,Figure Skating Men's Singles,0,1,0,1
"Albertus Stephanus ""Kwagga"" Smith",,M,23,Sweden,SWE,2014,Sochi,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,0,0,1,1
Alejandra Tern Eligio,,F,25,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,0,0,1,1
Alejandra Valencia Trujillo,,F,21,Hungary,HUN,2016,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",0,1,0,1
Alejandra Valencia Trujillo,,F,21,Italy,ITA,2016,Rio de Janeiro,Shooting,Shooting Men's Double Trap,0,0,1,1
Alejandra Zavala Vzquez,,F,32,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,0,0,1,1
Alejandro Enrique Valds Tobier,,M,27,Russia,RUS,2016,Rio de Janeiro,Handball,Handball Women's Handball,1,0,0,1
Alejandro Valverde Belmonte,,M,36,Bahrain,BRN,2016,Rio de Janeiro,Athletics,"Athletics Women's 3,000 metres Steeplechase",1,0,0,1
Aleksandr Aleksandrovich Volkov,,M,31,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,0,0,1,1
Aleksandr Gennadiyevich Yemelyanov,,M,32,United States,USA,2016,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,0,0,1,1
Aleksandr Nikolayevich Sukhorukov,,M,28,France,FRA,2014,Sochi,Snowboarding,Snowboarding Men's Boardercross,1,0,0,1
Aleksandr Nikolayevich Sukhorukov,,M,28,Netherlands,NED,2014,Sochi,Speed Skating,"Speed Skating Men's 1,500 metres",0,0,1,1
Aleksandr Sergeyevich Zaychikov,,M,23,Russia-2,RUS,2016,Rio de Janeiro,Tennis,Tennis Women's Doubles,1,0,0,1
Aleksandra Anna Socha (-Szelagowski),,F,34,Sweden,SWE,2014,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,0,0,1,1
Aleksandra Anna Socha (-Szelagowski),,F,34,Norway,NOR,2014,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,0,1,0,1
Aleksandra Urbaczyk-Olejarczyk,,F,28,Great Britain,GBR,2016,Rio de Janeiro,Athletics,Athletics Women's Hammer Throw,0,1,0,1
Aleksandra Urbaczyk-Olejarczyk,,F,28,United States,USA,2016,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,0,0,1,1
Aleksandra Yevgenyevna Tarasova,,F,28,Russia,RUS,2016,Rio de Janeiro,Handball,Handball Women's Handball,1,0,0,1
Aleksey Andreyevich Yakimenko,,M,32,Brazil,BRA,2016,Rio de Janeiro,Judo,Judo Women's Lightweight,1,0,0,1
Aleksey Igoryevich Verbov,,M,34,China,CHN,2016,Rio de Janeiro,Boxing,Boxing Women's Middleweight,0,1,0,1
Alen Taimurazovych Zasieiev,,M,27,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,1,0,0,1
Alessandro Velotto,,M,21,France,FRA,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",1,0,0,1
Alessia Trost,,F,23,China,CHN,2016,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,0,1,0,1
Alex Sobers,,M,17,Norway,NOR,2014,Sochi,Alpine Skiing,Alpine Skiing Men's Super G,1,0,0,1
Alex Wright,,M,25,Germany,GER,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,0,1,0,1
Alex Wright,,M,25,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,0,0,1,1
Alexandra Nathalie Wenk,,F,21,Russia,RUS,2016,Rio de Janeiro,Archery,Archery Women's Team,0,0,1,1
Alexandra Nathalie Wenk,,F,21,United States,USA,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",0,1,0,1
Alexandra Nathalie Wenk,,F,21,France,FRA,2016,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,0,1,0,1
Alexandra Tavernier,,F,22,United States,USA,2016,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,0,0,1,1
Alexandra Touretski,,F,21,Germany,GER,2016,Rio de Janeiro,Handball,Handball Men's Handball,0,1,0,1
Alexandra Touretski,,F,21,United States,USA,2016,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,1,0,0,1
"Alexandra Valerie ""Alex"" Wester",,F,22,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,1,0,0,1
Alexandru pac,,M,26,Canada,CAN,2014,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,1,0,0,1
"Alexis ""Lexi"" Thompson",,F,21,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,0,0,1,1
"Alexis ""Lexi"" Weeks",,F,19,Canada,CAN,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,0,1,0,1
Alexis Soto,,M,22,Netherlands,NED,2014,Sochi,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),1,0,0,1
